labno;unitno;serialno;modelid;makeid;make;compartid;compart;oilgradeid;coolantid;notesos;last_interpret_date;sampledate;processdate;oilhours;meterread;oilchanged;evalcode;job_site;datereported;ec;ph;prec;soln;sr1;sr2;sr3;sr4;sr5;sr6;ru;sl;ab;fa;no2;sp;cor;no3;cut;cl-;oth;gly;ox;cua;so4;ala;wm;dus;odour;om;pol;ot;solint;solcol;solapp;solcon;pptamt;pptcol;pptmag;pptapp;odrodr;solfoam;soloil;solfuel;s;cu;fe;cr;pb;al;si;sn;ni;na;k;mo;ca;mg;p;zn;v40;v100;vi;f;wat;wkf;ust;uoxi;usul;unit;pq;dep;tan;tbn;ti;sb;v;b;ag;mn;cd;ba;li;t10;t50;t90;t95;stl;ci;cp;w/s;col;app;api;d;vs;th;fp;iso;pc4;pc6;pc10;pc14;pc50;s_%;dp;pen;nlgi;lube;glo;atp
14754104;SC0902;W1C00326;657E;CAT;CATERPILLAR;149;ENGINE DIESEL REAR;15W40;Mobil Delvac Modern Extreme Ready Mixed (RED);Viscosity is consistent with oil type indicated. Infrared analysis appears acceptable. Wear levels below the 5 micron range appear acceptable. All other test appear acceptable. Suggested action: Continue sampling at the recommended interval.;08/05/2020;05/05/2020;07/05/2020;217;9338;TRUE;A;Meandu Mine;08/05/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2953;1;15;<1;1;1;4;<1;<1;2;<1;54;925;847;945;1082;98;13.2;133;<2.0;<0.1;;19;12;18;7;<1;N--B;;;<1;<1;<1;3;<1;<1;<1;<1;<1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14758637;DZ0957;AMA00589;D11T;CAT;CATERPILLAR;101;ENGINE PRIMARY - DIESEL;15W40;Mobil Delvac Modern Extreme Ready Mixed (RED);Viscosity acceptable for oil grade indicated.Additive levels suggest a different oil type/formulation is in use.Infrared analysis appears acceptable.Wear levels below the 5 micron range appear acceptable.All other test results appear acceptable. Suggested Action:Next sample please confirm exact oil type used.Continue sampling at regular intervals.;11/05/2020;02/05/2020;08/05/2020;250;17000;TRUE;A;Commodore Mine;11/05/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<1;10;<1;<1;<1;5;<1;<1;4;1;206;2917;155;1078;1246;113;13.8;121;<2.0;<0.1;;8;16;22;8;<1;N--B;;;<1;<1;<1;74;<1;<1;<1;<1;<1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14759628;DT0712;A30986;9.30E-02;KDC;KOMATSU;101;ENGINE PRIMARY - DIESEL;15W40; Cummins Tec Pgxl(Update to PGXL HD);Viscosity acceptable for oil grade indicated. Infrared analysis appears acceptable.Copper & lead are high.All other test results appear acceptable. Suggested Action:Investigate and evaluate compartment condition.Inspect any filter(s)/magnetic plugs for abnormal debris.Filtergram analysis may assist in confirming and identifying sources of the elevated wear metal levels.Please advise if any recent repairs have been performed.Resample at 250 hours.;11/05/2020;02/05/2020;08/05/2020;509;43908;TRUE;B;Blackwater Mine;11/05/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;183;11;<1;4;<1;6;<1;<1;4;1;<1;2428;7;839;1008;112;14.6;133;<2.0;<0.1;;20;11;20;8;4;L-FB;;;<1;<1;<1;<1;<1;<1;<1;<1;<1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14761128;DT0767;A31768;9.30E-02;KDC;KOMATSU;101;ENGINE PRIMARY - DIESEL;15W40; Cummins Tec Pgxl(Update to PGXL HD);Viscosity is consistent with oil type indicated. Infrared analysis appears acceptable. Wear levels below the 5 micron range appear acceptable. All other test appear acceptable. Suggested action: Continue sampling at the recommended interval.;12/05/2020;04/05/2020;08/05/2020;1091;26949;TRUE;A;Goonyella;12/05/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5142;3;8;<1;<1;<1;4;<1;<1;4;2;<1;2308;7;871;989;112;14.6;134;<2.0;<0.1;;6;10;17;7;4;N--B;;;<1;<1;<1;<1;<1;<1;<1;<1;<1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14767711;WT0018;7603;HD785;KDC;KOMATSU;101;ENGINE PRIMARY - DIESEL;15W40;Mobil Delvac Modern Extreme Ready Mixed (RED);Viscosity is consistent with oil type indicated.Infrared analysis appears acceptable.Lead is slightly high.All other test results appear acceptable. Suggested Action:Inspect the used oil filters for abnormal debris.Reduce the oil change interval.Resample at 250 hours.;13/05/2020;07/05/2020;11/05/2020;544;41034;TRUE;B;Meandu Mine;13/05/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3928;1;16;<1;6;<1;3;<1;<1;3;<1;61;1043;958;1009;1168;105;14.1;137;<2.0;<0.1;;35;15;23;9;<1;N--B;;;<1;<1;<1;2;<1;<1;<1;<1;<1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14767731;23927;GEB00254;D11T;CAT;CATERPILLAR;101;ENGINE PRIMARY - DIESEL;15W40; Cummins Tec Pgxl(Update to PGXL HD);Viscosity is consistent with oil type indicated. Infrared analysis appears acceptable. Wear levels below the 5 micron range appear acceptable. All other test appear acceptable. Suggested action: Continue sampling at the recommended interval.OIL HOURS?;13/05/2020;05/05/2020;11/05/2020;;53084;TRUE;A;Blackwater Mine;13/05/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4570;<1;7;<1;<1;<1;5;<1;<1;3;1;<1;2458;7;886;1046;105;13.7;131;<2.0;<0.1;;2;13;21;8;<1;N--B;;;<1;<1;<1;<1;<1;<1;<1;<1;<1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14770402;EX1601;HCM1800J00001093;EX3600-6;HLL;HITACHI;101;ENGINE PRIMARY - DIESEL;15W40;;Sample contained low levels of wear debris for and OIL ONLY. Ferrous and Copper alloy consisted of rubbing and fatigue wear. Low amounts of dust and organic matter present. Suggested Action: Recommend supplying 10cm of filter pleat for a filtergram interpretation of larger wear debris captured in filter media. More samples are needed to establish a trend. Re sample at recommended service interval.;13/05/2020;10/05/2020;12/05/2020;47096;47096;TRUE;A;Meandu Mine;13/05/2020;;;;;90;8;2;0;0;0;76;0;0;10;;0;0;;0;;14;;0;6;;0;0;6;;4;0;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<1;;;;;;;;;;;;;;;;;80;;;;;;;;;;;;;;;;;;;;;;;
14770812;EX1601;HCM1800J00001093;EX3600-6;HLL;HITACHI;101;ENGINE PRIMARY - DIESEL;15W40;;Viscosity acceptable for oil grade indicated. InfraRed analysis appears acceptable. Wear levels in the 5 micron range appear acceptable. All other test results appear acceptable. Suggested action: Continue sampling at the recommended interval.;13/05/2020;10/05/2020;12/05/2020;47096;47096;TRUE;A;Meandu Mine;13/05/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4086;<1;1;<1;2;<1;3;<1;<1;2;<1;58;998;927;992;1130;104;13.8;134;<2.0;<0.1;;<1;13;19;6;<1;N--B;;;<1;<1;<1;2;<1;<1;<1;<1;<1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14787729;EX0266;48013;R9800;LIE;LIEBHERR;EPP2;ENGINE PP2 - REAR;15W40; Cummins Tec Pgxl(Update to PGXL HD);Viscosity is slightly high for oil type indicated.Infrared analysis appears acceptable.Potassium is high.Sodium is slightly high. Copper and iron are increasing.All other test results appear acceptable. Suggested Action:Investigate and evaluate compartment condition.Inspect the used oil filters for abnormal debris.Results may indicate a persisting slight coolant leak.Monitor any coolant usage. Check and test the cooling system. Monitor oil level in this compartment. Advise shorter oil change intervals until contaminant entry issue is rectified.Resample 100 hours following assessment/repair.;18/05/2020;07/05/2020;15/05/2020;344;35956;TRUE;C;Goonyella;18/05/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;5;<1;<1;<1;6;<1;<1;32;73;9;2442;7;897;1068;127;16.0;133;<2.0;<0.1;;2;13;23;9;2;N--B;;;<1;<1;<1;3;<1;<1;<1;<1;<1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14788414;23886;RJG00281;D10T;CAT;CATERPILLAR;101;ENGINE PRIMARY - DIESEL;30; Cummins Tec Pgxl(Update to PGXL HD);Viscosity is slightly high for oil type indicated.Additive levels suggest a different oil type/formulation is in use.This may be due to a mixture of different oil types.Infrared analysis appears acceptable.Wear levels below the 5 micron range appear acceptable.All other test results appear acceptable. Suggested Action:Inspect the used oil filters for abnormal debris.Resample at 250 hours to further monitor.;18/05/2020;13/05/2020;15/05/2020;1324;47470;FALSE;B;Blackwater Mine;18/05/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2807;<1;6;<1;<1;<1;4;<1;<1;4;<1;<1;2220;6;857;960;115;15.2;138;<2.0;<0.1;;<1;9;17;5;<1;N--B;;;<1;<1;<1;<1;<1;<1;<1;<1;<1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
