lookupid;lookupcategory;lookupcode;lookupname;remarks;isactive;createdutcdate;modifiedutcdate
1;MOL_STATUS;1;Open;NULL;1;2023-07-02 01:12:27.5500000;2023-07-02 01:12:27.5500000
2;MOL_STATUS;2;Revise;NULL;1;2023-07-02 01:12:27.5500000;2023-07-02 01:12:27.5500000
3;MOL_STATUS;3;Approved;NULL;1;2023-07-02 01:12:27.5500000;2023-07-02 01:12:27.5500000
4;MOL_STATUS;4;Rejected;NULL;1;2023-07-02 01:12:27.5500000;2023-07-02 01:12:27.5500000
5;POOLING_STATUS;1;Revise;NULL;1;2023-07-02 01:12:27.5500000;2023-07-02 01:12:27.5500000
6;POOLING_STATUS;1;Delete;NULL;1;2023-07-02 01:12:27.5500000;2023-07-02 01:12:27.5500000
7;UOM;1;NEW;NULL;1;2023-07-02 01:12:27.5500000;2023-07-02 01:12:27.5500000
8;UOM;2;REPAIRED;NULL;1;2023-07-02 01:12:27.5500000;2023-07-02 01:12:27.5500000
9;MO_TYPE;MT01;MINOR REPAIR;Minor;1;2023-07-02 01:12:27.5533330;2023-07-02 01:12:27.5533330
10;MO_TYPE;MT02;BUCKET, BLADE & VESSEL;Attachment;1;2023-07-02 01:12:27.5533330;2023-07-02 01:12:27.5533330
11;MO_TYPE;MT03;UNDERCARRIAGE;UC;1;2023-07-02 01:12:27.5533330;2023-07-02 01:12:27.5533330
12;MO_TYPE;MT04;COMPONENT REPLACEMENT;Comp.;1;2023-07-02 01:12:27.5533330;2023-07-02 01:12:27.5533330
13;MO_TYPE;MT05;PERIODICAL SERVICE;PS;1;2023-07-02 01:12:27.5533330;2023-07-02 01:12:27.5533330
14;MO_TYPE;MT06;GROUND ENGAGEMENT TOOLS (GET);GET;1;2023-07-02 01:12:27.5533330;2023-07-02 01:12:27.5533330
15;MOL_LAST_STATUS;MLOP;Open Defect Finding need MOR/MOL;Waiting create e-MOL;1;2023-07-02 01:12:27.5600000;2023-07-02 01:12:27.5600000
16;MOL_LAST_STATUS;MLSU;MOL Submitted;Waiting Approval Supervisor;1;2023-07-02 01:12:27.5600000;2023-07-02 01:12:27.5600000
17;MOL_LAST_STATUS;MLCO;MOL Complete Approved by Supervisor;Waiting Validasi Planner;1;2023-07-02 01:12:27.5600000;2023-07-02 01:12:27.5600000
18;MOL_LAST_STATUS;MLDL;Delete MOL Pooling & Validation;Delete Digiman;1;2023-07-02 01:12:27.5600000;2023-07-02 01:12:27.5600000
19;MOL_LAST_STATUS;MLOK;Create MO to SAP;Create SAP;1;2023-07-02 01:12:27.5600000;2023-07-02 01:12:27.5600000
20;ADD_EMOL_NO;ADD_EMOL_NO;724994;NULL;1;2023-09-14 11:25:38.1266660;2023-09-14 11:25:38.1266660
